measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Northern Cape,Female,40-44 years,All causes,Rate,2015,1095.9499454647273,1360.7436620564768,923.2831551022124
Deaths,Northern Cape,Male,45-49 years,All causes,Number,2015,611.8422793887734,712.825914151962,544.877206696581
Deaths,Northern Cape,Female,45-49 years,All causes,Number,2015,434.98545676202406,519.2530839282673,374.30140200922796
Deaths,Northern Cape,Male,45-49 years,All causes,Rate,2015,1794.0387015463432,2090.142052182661,1597.6842878211644
Deaths,Northern Cape,Female,45-49 years,All causes,Rate,2015,1164.7318833524419,1390.369753697784,1002.2421902306871
Deaths,Northern Cape,Male,50-54 years,All causes,Number,2015,668.1991460192846,725.8071514305835,621.3012183681536
Deaths,Northern Cape,Female,50-54 years,All causes,Number,2015,482.53119893015855,547.5353049167674,433.5513806322273
Deaths,Northern Cape,Male,50-54 years,All causes,Rate,2015,2313.6217643497685,2513.0879503130086,2151.238937668596
Deaths,Northern Cape,Female,50-54 years,All causes,Rate,2015,1436.1414911828622,1629.611040740692,1290.3644938732273
Deaths,Northern Cape,Male,55-59 years,All causes,Number,2015,686.9778123954993,723.4640187782327,655.8565841786126
Deaths,Northern Cape,Female,55-59 years,All causes,Number,2015,514.1948753857051,559.3176143675829,480.3990030213379
Deaths,Northern Cape,Male,55-59 years,All causes,Rate,2015,2767.8715853174067,2914.8765279525137,2642.4824363122416
Deaths,Northern Cape,Female,55-59 years,All causes,Rate,2015,1788.001936407309,1944.9065430801784,1670.4840689164366
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Number,2005,1282.8714797202779,1392.659154264336,1198.3173717753336
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Number,2005,1518.5822199557194,2056.236417798172,1237.574495843986
Deaths,KwaZulu-Natal,Male,15-19 years,All causes,Rate,2005,214.04184448841164,232.35946767435019,199.93433839001858
Deaths,KwaZulu-Natal,Female,15-19 years,All causes,Rate,2005,244.49586432535256,331.05965131179454,199.25285707428543
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Number,2005,3188.387577051499,3596.765268145261,2933.975176132166
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Number,2005,5734.193063400664,7692.469408977116,4487.64362414962
Deaths,KwaZulu-Natal,Male,20-24 years,All causes,Rate,2005,629.3506109170557,709.959615676895,579.1325630561605
Deaths,KwaZulu-Natal,Female,20-24 years,All causes,Rate,2005,1055.0566495380206,1415.3675873089492,825.699133961149
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Number,2005,6497.408255247417,7744.12951625493,5834.264595528937
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Number,2005,10390.578198396304,13136.555805349879,8170.336812177467
Deaths,KwaZulu-Natal,Male,25-29 years,All causes,Rate,2005,1634.1212000392409,1947.6760149928298,1467.3382197420733
Deaths,KwaZulu-Natal,Female,25-29 years,All causes,Rate,2005,2400.0735132907193,3034.35468578177,1887.2298156225654
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Number,2005,9583.530438315738,11564.928912232961,8402.52968246279
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Number,2005,11455.780990119194,14025.46005218941,9280.733240142685
Deaths,KwaZulu-Natal,Male,30-34 years,All causes,Rate,2005,2994.9739718125034,3614.185951715604,2625.896360254139
Deaths,KwaZulu-Natal,Female,30-34 years,All causes,Rate,2005,3178.6359972789105,3891.644946663971,2575.1254134226865
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Number,2005,9257.705893952227,11796.060628166073,7638.5490923538455
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Number,2005,9140.031326906488,11532.290995846342,7267.227044899928
Deaths,KwaZulu-Natal,Male,35-39 years,All causes,Rate,2005,3552.804176179624,4526.94154926594,2931.42485040451
Deaths,KwaZulu-Natal,Female,35-39 years,All causes,Rate,2005,2846.7809976805333,3591.8812192746855,2263.4718763325354
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Number,2005,8254.01635685842,10303.835507028856,6661.828169127548
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Number,2005,7065.566132399699,8808.76706307431,5538.688749146916
Deaths,KwaZulu-Natal,Male,40-44 years,All causes,Rate,2005,3650.6440845636425,4557.252435148881,2946.4399568092704
Deaths,KwaZulu-Natal,Female,40-44 years,All causes,Rate,2005,2425.940489502539,3024.463189568999,1901.6918168373525
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Number,2005,6663.581887937588,8149.201546115239,5479.883713699805
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Number,2005,5439.436793775432,6853.484741174948,4182.272451584944
Deaths,KwaZulu-Natal,Male,45-49 years,All causes,Rate,2005,3479.8903143398957,4255.718321892968,2861.733310958826
Deaths,KwaZulu-Natal,Female,45-49 years,All causes,Rate,2005,2190.79432099526,2760.3180290973346,1684.4572486387242
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Number,2005,5575.239288354713,6440.862090974384,4820.481469676041
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Number,2005,4346.49219407497,5270.021141141475,3453.1776793623317
Deaths,KwaZulu-Natal,Male,50-54 years,All causes,Rate,2005,3477.820175085395,4017.7934912536907,3007.0041556569718
Deaths,KwaZulu-Natal,Female,50-54 years,All causes,Rate,2005,2161.8368225255076,2621.1770894097303,1717.5244607927877
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Number,2005,4807.320414700961,5339.179786709172,4340.018970786698
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Number,2005,3612.2357686178593,4166.459944480051,3098.2320736989227
Deaths,KwaZulu-Natal,Male,55-59 years,All causes,Rate,2005,3956.4340724306953,4394.155372371508,3571.8440731569663
Deaths,KwaZulu-Natal,Female,55-59 years,All causes,Rate,2005,2320.4641315494655,2676.4921992904256,1990.273298518751
Deaths,Gauteng,Male,15-19 years,All causes,Number,2005,822.590937944256,894.5095575077336,751.0063388726577
Deaths,Gauteng,Female,15-19 years,All causes,Number,2005,878.6128880331194,1154.103607387079,743.4398090863684
Deaths,Gauteng,Male,15-19 years,All causes,Rate,2005,171.09060360259608,186.04894980335933,156.20173028918785
Deaths,Gauteng,Female,15-19 years,All causes,Rate,2005,182.63600308918095,239.90186448987768,154.5377687013851
Deaths,Gauteng,Male,20-24 years,All causes,Number,2005,2136.325897763293,2375.2693301254894,1949.9493160061775
Deaths,Gauteng,Female,20-24 years,All causes,Number,2005,3443.3329433060235,4787.060659050191,2586.705668389256
Deaths,Gauteng,Male,20-24 years,All causes,Rate,2005,368.21099859223966,409.3946026150421,336.0876660263394
Deaths,Gauteng,Female,20-24 years,All causes,Rate,2005,624.2061386965839,867.7966083706932,468.9170590804306
Deaths,Gauteng,Male,25-29 years,All causes,Number,2005,4266.687499654477,5120.245178258423,3716.259804565953
Deaths,Gauteng,Female,25-29 years,All causes,Number,2005,6992.901558265733,9631.430916508234,4978.732002418746
Deaths,Gauteng,Male,25-29 years,All causes,Rate,2005,706.2325526150653,847.5155076506688,615.1244140031151
Deaths,Gauteng,Female,25-29 years,All causes,Rate,2005,1293.1491095007912,1781.0741662992727,920.6826096044184
Deaths,Gauteng,Male,30-34 years,All causes,Number,2005,6732.722510918649,8531.384093576276,5495.925449518045
Deaths,Gauteng,Female,30-34 years,All causes,Number,2005,8330.33026448604,10930.933283519607,6075.342379354457
Deaths,Gauteng,Male,30-34 years,All causes,Rate,2005,1232.0393253740212,1561.1813328278988,1005.714444958794
Deaths,Gauteng,Female,30-34 years,All causes,Rate,2005,1698.765431654101,2229.0942865644024,1238.916260440399
